"X1","X2"
49.9796188570264,149.837768759002
49.9252204543151,150.024201684128
50.0929294385047,149.866830783063
50.0443407641803,150.011969300962
50.018304017302,149.858556840712
50.0064965254056,149.901261498975
50.0241406706423,149.826840798772
49.9368698877837,150.131499372424
49.9961668989534,149.837327353338
49.94027037097,150.064473848259
50.0748319218628,149.893792410853
50.0467481164688,150.153138177878
49.9865390245345,149.939671773228
49.9982203033786,150.027678885237
50.0559716278539,150.036131736217
49.9753679475126,149.901932232406
49.98937567338,149.791045972768
50.0839792343041,149.884587831845
50.0986400366022,149.990131469104
49.9917980435872,149.991072150453
49.9601656595792,150.061255055767
50.0910622402221,150.109594281846
50.0628583517362,149.836545129053
50.0003565115081,149.931521092004
50.0535090129948,149.956031654447
49.8582870814994,150.221742864314
49.9271291608544,149.912916135895
49.9469515621657,150.073901199285
49.9426401295463,150.177048986413
49.9607738245957,149.804468062158
