"X1","X2","X3"
20.0916907272738,149.960884461947,249.965294402335
20.0010612094275,150.039506261387,249.99643053824
20.0188250924066,149.973541938253,249.995690373847
19.9437030435269,149.925931991729,249.990892205881
19.9863468178335,150.134007453788,249.982988458344
19.9934787462385,150.028088904773,249.98775338455
20.039057549624,149.878451814279,250.003303155892
19.9946879233353,149.915050984862,249.982356912791
20.0347816322857,149.870094913582,249.99744054864
20.0397772627097,150.111022673915,250.002206060823
20.0177743667586,149.777014613759,249.977567971844
19.9817947928838,149.968498968028,250.037907242057
20.0257375404939,150.105643427343,250.013943009982
19.9771890942033,149.96601098552,249.969875380091
20.0057177818536,150.077172185724,249.974665425572
20.0302083425495,150.041080076137,249.990699733943
19.9915021063301,150.044137475073,243.664179128271
20.0282434273226,149.757071406203,249.995088772912
20.0298339824083,150.009790645018,249.994166219426
19.9861350803407,149.958294271956,249.986394862137
20.010160752221,150.010899372461,250.02226559261
20.0407817118379,150.105380520645,250.028994762876
20.0072023016731,150.051415989947,250.032303412022
19.9729138197084,149.919877598669,250.002778809614
20.0539865955569,150.091794019386,250.018140321227
20.0101968569461,150.117536285583,250.008749642414
19.9978445019826,149.948937255181,250.027267819216
20.0114109569466,150.066798784644,250.01228382066
20.0327972658899,150.050217850187,250.023639694569
19.9941197982735,150.025980817734,249.968398292079
