"Specificity","Sensitivity","Accuracy"
0.5,1,0.925
1,0.823529411764706,0.85
0.833333333333333,0.5,0.55
0.833333333333333,0.911764705882353,0.9
0.833333333333333,0.764705882352941,0.775
1,0.911764705882353,0.925
