"Parametro","Real","Estimado_Mean","Estimado_Median","SD","Vies","EQM","Assimetria","IC_95"
"Mu_1",20,21.8518702389355,20.000856356173,7.26809083956175,-1.85187023893553,56.2545678339765,3.62169690299617,"19.9144522085407, 44.7858358686851"
"Mu_2",150,147.300460839691,150.053205168449,15.1111372573308,2.69953916030946,235.633980887936,-2.17435843943957,"101.083254994599, 166.907267803672"
"Mu_3",250,242.544897437438,250.005583614119,19.6605263019616,7.45510256256222,442.114848688447,-2.18955469152408,"188.23594298116, 250.053243187828"
"Sigma_1",1,5.29300855665547,0.995126394212346,16.4740072291071,-4.29300855665547,289.82283665219,3.37462580408671,"0.93441332527291, 62.3131701179872"
"Sigma_2",1.5,19.7177095141652,1.54017327501059,37.1669706170428,-18.2177095141652,1713.26864479063,1.45022648862924,"1.32690343175091, 97.8235813100185"
"Sigma_3",0.5,10.981097354535,0.492132755316023,27.2456049682675,-10.481097354535,852.176391842122,2.06614709938821,"0.451446830700109, 82.6260277672895"
