"X1","X2"
20.2131361158903,149.978876641417
19.9585611422625,149.899756776354
19.9850364255162,149.968986453594
20.0643394749228,150.042195631233
20.0071313878568,149.842142040496
19.9422718954865,150.055563893825
20.0988377423854,150.181436092169
20.1468766054168,150.033918961756
19.8993960460279,149.979250225595
19.9613368414144,150.004150892127
19.8956313667714,149.989218362198
19.9738137933676,150.072767605769
20.0236300102508,150.114819562363
20.0502268241714,150.191568482981
20.0435957586902,149.723910940259
20.0189405348679,149.670060489085
19.91976707962,150.204503311172
19.9088245530646,150.056219571568
20.0865729471004,149.976538194614
20.0074334142007,149.779433230066
20.0229974495574,149.831198211505
20.0864725391374,149.637737687405
20.0888427669994,149.810032022671
19.9991147483686,150.021446987711
19.9052710215822,150.046167294248
20.042152721346,150.272805594841
20.0058325279632,150.111227061529
20.0294575603326,149.992352795366
20.0939771159396,149.796466389197
20.1244163418278,150.099960883157
