"Parametro","Real","Estimado_Mean","Estimado_Median","SD","Vies","EQM","Assimetria","IC_95"
"Mu_1",20,20.020129825078,20.0209689922127,0.0780749641308367,-0.0201298250779658,0.00650090988170094,0.254661176141293,"19.8983607592324, 20.165097970797"
"Mu_2",150,149.979490409542,149.998251843747,0.159133532644713,0.0205095904576638,0.025744124512727,-0.398578562343602,"149.661171718623, 150.223286439181"
"Sigma_1",1,1.01844567023317,1.02124905780502,0.0451799823892185,-0.0184456702331697,0.00238147355904093,0.326661730589995,"0.940278296481065, 1.1024087568221"
"Sigma_2",1.5,1.49416980910012,1.51298806617901,0.10006141491631,0.00583019089988146,0.0100462778809831,-0.513844088914224,"1.28744091625084, 1.64231989373208"
