"Parametro","Real","Estimado_Mean","Estimado_Median","SD","Vies","EQM","Assimetria","IC_95"
"Mu_1",60,59.1698582150902,59.1855831176961,0.482317163835905,0.83014178490982,0.921765229583973,-0.48604456617873,"58.3358622255666, 59.7619319011973"
"Mu_2",70,68.4986023203107,69.0127813433864,1.64392201493543,1.50139767968926,4.95667458376568,-0.803377836069972,"65.4011447354564, 70.3568155309386"
"Mu_3",80,81.5314441972136,81.6590398288964,1.18575791103645,-1.53144419721362,3.75134315276478,-0.473836007024398,"79.4519605968396, 83.0051574145064"
"Sigma_1",3.5,2.77363405142896,2.7681538287688,0.325886333126617,0.726365948571045,0.633809393362226,-0.347386197364446,"2.21737077589521, 3.24211861569464"
"Sigma_2",2.5,3.14776310316473,3.19272878204548,0.455532155941734,-0.647763103164734,0.62710658291853,-0.0819093891169418,"2.40684524758086, 3.85185804305742"
"Sigma_3",6,4.97162264686485,5.06046544861628,0.580687858466351,1.02837735313515,1.39475836941149,-0.150456796914995,"4.16879388035566, 5.78976838697138"
