"X1","X2","X3"
58.9823705493519,69.1171200981088,82.2186962023902
59.5771065096532,68.9084425886639,80.9279341377954
59.2629118728154,69.4872585733441,82.9535012985677
59.5834725112508,70.4642890846122,82.1791714637705
59.4623353695083,69.9866288460631,83.0201543513918
59.8137426918269,69.4112095622453,81.8279438605691
59.1008178146401,67.7234320724236,81.4901357972237
58.2802888545073,64.9770234909143,79.2178199521089
58.527281614771,66.8620067999905,80.258445039801
59.1082543625768,68.0486120867416,81.220639868518
