"X1","X2","X3"
2.66531341581195,3.88959387987877,4.20241467104968
2.8872647939343,2.74781209816036,5.08685436301172
2.91085759046564,3.28496742748999,5.03407653422083
3.25936989331637,3.02997737886163,4.32308305676339
2.79422901982059,3.72187904956168,4.15903300563804
3.18269754833091,2.30785487160617,5.31937198389816
2.59236511359991,3.23638543334565,4.91128159656113
2.10850145204545,3.2284515717665,5.85028027775059
2.74207863771701,3.15700599232446,5.24849243880084
2.59366304924741,2.87370332865212,5.58133854095411
